,lbp_000,lbp_001,lbp_002,lbp_003,lbp_004,lbp_005,lbp_006,lbp_007,lbp_008,lbp_009,lbp_010,lbp_011,lbp_012,lbp_013,lbp_014,lbp_015,lbp_016,lbp_017,lbp_018,lbp_019,lbp_020,lbp_021,lbp_022,lbp_023,lbp_024,lbp_025,zernike_000,zernike_001,zernike_002,zernike_003,zernike_004,zernike_005,zernike_006,zernike_007,zernike_008,zernike_009,zernike_010,zernike_011,zernike_012,zernike_013,zernike_014,zernike_015,zernike_016,zernike_017,zernike_018,zernike_019,zernike_020,zernike_021,zernike_022,zernike_023,zernike_024,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135
26 (19).jpg,0.022235576923076924,0.010844624125874126,0.011937281468531468,0.010708041958041958,0.00942416958041958,0.009151005244755244,0.009369536713286714,0.011500218531468532,0.012128496503496504,0.01324847027972028,0.016608391608391608,0.024994536713286712,0.03463723776223776,0.030293924825174824,0.020405375874125876,0.015679632867132868,0.009888548951048952,0.009670017482517482,0.006883741258741259,0.007074956293706294,0.008249562937062938,0.008331512237762238,0.00895979020979021,0.008058347902097902,0.506993006993007,0.16272399475524477,0.31830988618379075,0.09915244544965261,0.00041299839666524214,0.11323770850194294,0.04677034131409937,0.05410759277320768,0.036960760773916725,0.04988687358498971,0.02824751382515147,0.07250054980472785,0.11314671790826938,0.024740487229426858,0.04385133990895991,0.05803458567355726,0.04752429075719996,0.011072889657997567,0.07480408061159792,0.10363059491155992,0.061987057690140415,0.038179517144501816,0.05424801494656087,0.06058043291185379,0.05908174327358098,0.023346509029744646,0.01984728713987162,27.31736392261502,28.12733698128597,22.91564039409907,27.83054035565936,0.832493942494911,0.8256062701609741,0.8717182148232562,0.828926709713569,0.46920193395567206,0.4599136056631712,0.48134399731288124,0.4593976504855501,2547.057411154907,2663.2305631537724,1947.7603000456654,2612.522913815021,0.19700693359609153,0.18821477587371988,0.20095764417704948,0.18814014997449005,0.4438546311531418,0.433837268885143,0.44828299563674,0.43375125357108774
26 (20).jpg,0.020623907342657344,0.010708041958041958,0.013931381118881118,0.011117788461538462,0.009314903846153846,0.009533435314685314,0.010052447552447552,0.010161713286713286,0.011472902097902098,0.014505026223776224,0.018547858391608392,0.02436625874125874,0.03264313811188811,0.026852054195804196,0.021033653846153848,0.01439576048951049,0.011199737762237762,0.008905157342657342,0.00857736013986014,0.008222246503496504,0.00942416958041958,0.00904173951048951,0.008932473776223776,0.007867132867132868,0.5052993881118881,0.16327032342657344,0.31830988618379075,0.08142908518851416,0.0071262063788445984,0.10313384952521905,0.06559940973704385,0.09207839759164899,0.0014123477538187758,0.04723882994592007,0.05095999928559431,0.04462578866515465,0.026704148533157966,0.07630222088647727,0.0015616509682331193,0.0070370933241705475,0.03633196180398593,0.05809282327175119,0.05171818395855871,0.049176727354251035,0.03593391045523729,0.12482170201589256,0.043711568132589564,0.03116176166062555,0.017131045165438605,0.022005748886890508,0.0435836358166477,26.53744939270025,27.521887824879684,22.694917151823972,27.00575695392711,0.832764763083237,0.8226489786351548,0.8638546184825454,0.8277631745850315,0.4663571725969061,0.456242810678479,0.4768420478915663,0.45654512961213967,2295.1875281140547,2444.195166437116,1865.83962158617,2373.7129502948706,0.19573160266559725,0.18682767528704586,0.19992525573959866,0.1870227287240522,0.44241564468901556,0.43223567100257454,0.44713002106724914,0.4324612453435015
26 (21).jpg,0.023574082167832168,0.012893356643356644,0.011937281468531468,0.01125437062937063,0.01027097902097902,0.00972465034965035,0.00972465034965035,0.010243662587412588,0.010789991258741258,0.012374344405594406,0.014259178321678322,0.022891171328671328,0.030512456293706292,0.026196459790209792,0.018356643356643356,0.013849431818181818,0.010025131118881118,0.008522727272727272,0.007566652097902098,0.008823208041958042,0.009178321678321678,0.009997814685314686,0.00887784090909091,0.00827687937062937,0.5065559440559441,0.173322770979021,0.31830988618379064,0.021097548752258617,0.009426942493467807,0.03421301856503829,0.012839730822878757,0.025747544170121296,0.042886021887725494,0.02125957704036796,0.010645054719179588,0.02801704450967443,0.06455693708478909,0.027920220596903262,0.029678283507451993,0.00672608165961174,0.007944712848104468,0.025004059418900455,0.0315965960945492,0.09685029610822146,0.04759382539106793,0.05023987424250151,0.06061408482552255,0.01547797630674409,0.017331174473509122,0.009390266242367626,0.03693589102566377,25.92425775977288,27.786422708600583,23.700235109728705,27.751196990406036,0.8314128371841909,0.8154548605346568,0.848636528173342,0.8165726117252401,0.47377404333014345,0.4610743187098313,0.48247076363817337,0.4627808536953321,2432.5161381005346,2674.808253532261,2180.649070757813,2658.6075011383145,0.1954454423049156,0.18637292653105805,0.1991160511920136,0.186370621402438,0.44209211970461043,0.4317093079041244,0.4462242162769896,0.4317066381264458
26 (22).jpg,0.020186844405594404,0.008358828671328672,0.011527534965034966,0.010680725524475524,0.011445585664335664,0.009997814685314686,0.009751966783216784,0.010708041958041958,0.011554851398601398,0.014668924825174826,0.019968312937062936,0.031004152097902096,0.040018575174825176,0.032888986013986016,0.02089707167832168,0.014341127622377622,0.010817307692307692,0.00972465034965035,0.008713942307692308,0.009069055944055944,0.00827687937062937,0.008631993006993006,0.007484702797202797,0.006938374125874126,0.5040155157342657,0.14832823426573427,0.31830988618379075,0.14029825639487034,0.010492710623337858,0.11844409468805946,0.01578990203651418,0.07295345840224426,0.002991568806529359,0.030607974516724562,0.01867377859489506,0.04890880972012025,0.0237651552700267,0.03537257202077394,0.0033273127935069804,0.013818587162674914,0.01022567274219194,0.04982765167674808,0.07767296206907182,0.06548751334855941,0.06934646766224585,0.11865238065532685,0.07170996239443736,0.09530885577771915,0.08683265049736547,0.07995561474728143,0.10036035166055886,26.068094916767112,26.20707934334893,21.780956112862345,26.867248061999156,0.8469564231251159,0.8451882508014673,0.8799498917658218,0.837902578430297,0.46528381116847906,0.4574994447779476,0.4778128435178341,0.45675380750522004,2193.392768779879,2226.9617533046157,1718.3470667271,2331.7659028713397,0.19605960732878744,0.18707813262846412,0.19970287874991013,0.18717587479283168,0.4427861869218454,0.4325252970965561,0.4468812803753477,0.4326382724549825
26 (23).jpg,0.021033653846153848,0.012347027972027972,0.011691433566433566,0.012073863636363636,0.010134396853146854,0.009151005244755244,0.009861232517482518,0.009888548951048952,0.0118006993006993,0.013794798951048952,0.015515734265734266,0.021334134615384616,0.03228802447552447,0.027644230769230768,0.0196131993006993,0.013576267482517482,0.010325611888111888,0.008058347902097902,0.007730550699300699,0.007593968531468531,0.008604676573426574,0.009396853146853146,0.010298295454545454,0.008932473776223776,0.5046711101398601,0.17263986013986013,0.31830988618379064,0.025463807610356326,0.023867204982399397,0.08043760043940967,0.01900896955496597,0.07981223339001445,0.061092711012902826,0.04403645683691391,0.05923547985710879,0.022651383499131376,0.05508087220595276,0.051219230005724876,0.01825215107056398,0.02765151593682606,0.006539971438353128,0.025929214227763318,0.020302908179039656,0.08316717597259655,0.05508848292663442,0.02682177076071431,0.004072983201910888,0.04373653843205025,0.03480451373768735,0.0174135304074773,0.0570706971306913,20.617802519110505,21.198586411300088,17.88916256158079,21.477485180109966,0.8194316693865661,0.8143633613943952,0.8530397147648546,0.8095146798561637,0.47490225067666564,0.4633427742404347,0.48383756542979073,0.4636109777688713,1441.9141363017472,1488.3531121745418,1171.927060009268,1527.2277131776898,0.19638732940172998,0.18748094370148435,0.2003387717142822,0.1876507621531273,0.4431561004902561,0.4329906970149409,0.44759219353590407,0.43318675205173035
26 (24).jpg,0.022699956293706292,0.01210118006993007,0.013521634615384616,0.011172421328671328,0.010544143356643356,0.009096372377622378,0.00887784090909091,0.009670017482517482,0.01095388986013986,0.013467001748251748,0.015488417832167832,0.022262893356643356,0.028572989510489512,0.022891171328671328,0.018028846153846152,0.01103583916083916,0.009861232517482518,0.008631993006993006,0.008331512237762238,0.00895979020979021,0.008468094405594406,0.009451486013986014,0.009888548951048952,0.009287587412587412,0.5081129807692307,0.1786221590909091,0.31830988618379064,0.026854777479377458,0.07306633780295684,0.04974250389166801,0.051532479722243264,0.042974425642445406,0.028897184751209046,0.05229653458234051,0.03709500281311749,0.07249972535999412,0.07037290719974677,0.0655650670282045,0.03214734643510277,0.04386138630413644,0.03459144518546067,0.024627600187487074,0.06612243840618968,0.07819605652967511,0.07872705409596646,0.0579215019291986,0.016247997208101383,0.05681513907324975,0.07519978366233358,0.04147815412588385,0.05124224978489909,25.083783175877187,26.18906748744432,22.595723242284645,26.494072047407265,0.8316149689346334,0.8225216171948457,0.8555456279719773,0.8174973867881963,0.46701543608948365,0.45836319844559675,0.47451810550928314,0.45676215150373145,2154.270973908142,2279.72435020381,1845.5752351104813,2344.2610009105406,0.19565926193600963,0.18707406616390643,0.19932880648456555,0.18739224823284573,0.4423338806105741,0.432520596230869,0.4464625476840869,0.43288826298808997
26 (25).jpg,0.021170236013986012,0.010216346153846154,0.01018902972027972,0.010844624125874126,0.011090472027972028,0.011472902097902098,0.011390952797202798,0.01133631993006993,0.011582167832167832,0.013111888111888112,0.014750874125874126,0.022645323426573428,0.03329873251748252,0.024994536713286712,0.01816542832167832,0.013439685314685314,0.011090472027972028,0.009779283216783216,0.008140297202797202,0.008140297202797202,0.008905157342657342,0.009588068181818182,0.009396853146853146,0.008085664335664336,0.5063100961538461,0.17086429195804195,0.31830988618379075,0.1615607554428489,0.010466688135450413,0.1228998039597427,0.11654388680075492,0.13770576228530654,0.028615971298271838,0.0697874026141,0.04333489951160458,0.10888252485045168,0.07658495694281749,0.0613749562735064,0.08446714765163303,0.033038363325690885,0.05309237384037281,0.019250596346689738,0.12360562542936024,0.037672439302207275,0.043743296809856586,0.10244917783133106,0.02816313278390227,0.0675182497056394,0.029603402575727644,0.07461964414431846,0.0646666956203126,25.82248088168039,26.74623803007837,22.645152261541767,27.060248517994555,0.8433037511194416,0.8336506801813987,0.8648176794101173,0.8297764719826624,0.469431537310249,0.46212482315817716,0.48279666791736453,0.4594711516587451,2321.4165542049986,2474.6749885985087,1999.8542319758142,2532.3091655250682,0.1965646170316372,0.18760559365329893,0.20063602982429368,0.1875303049686734,0.44335608378778024,0.4331346137787869,0.4479241340051836,0.43304769364202067
26 (26).jpg,0.01953125,0.010817307692307692,0.010789991258741258,0.010434877622377622,0.010025131118881118,0.010544143356643356,0.010680725524475524,0.01125437062937063,0.012838723776223776,0.015461101398601398,0.017564466783216784,0.025431599650349652,0.03567526223776224,0.028463723776223776,0.020596590909090908,0.013603583916083916,0.011309003496503496,0.009369536713286714,0.008058347902097902,0.008522727272727272,0.008413461538461538,0.008741258741258742,0.008741258741258742,0.007539335664335664,0.5064193618881119,0.15917285839160839,0.3183098861837907,0.0574760880359963,0.016769444951827805,0.032997778726773286,0.04784800756688568,0.08319957650037971,0.022742045804713205,0.03161444046232465,0.025869268141938642,0.014700736078614931,0.05865137410637444,0.03009525651650338,0.06093837436381285,0.01724498572175432,0.013604774179200843,0.017865574483451892,0.0376695652219947,0.06640207101660146,0.03993874594902413,0.019247359113154783,0.05188935910347961,0.03823064923887295,0.09121818237588353,0.057683593195681206,0.029434200019530087,26.464518668454485,27.64597583217636,23.31040080610075,27.572446420411982,0.840266320412933,0.8313378866564346,0.8667784681865651,0.8304892573120036,0.46899244519097966,0.45860031318316247,0.47924505840739823,0.45958255280086974,2399.3674089057636,2543.5791153654977,1998.402485446478,2556.37722298065,0.19695870077804342,0.1879187459445955,0.20115662027805986,0.18870313012352338,0.4438002938012135,0.4334959583947646,0.4485048720783977,0.4343997354091314
26 (27).jpg,0.020350743006993008,0.012674825174825174,0.012210445804195804,0.01103583916083916,0.009533435314685314,0.009670017482517482,0.009751966783216784,0.010735358391608392,0.011609484265734266,0.013849431818181818,0.015570367132867132,0.024584790209790208,0.032014860139860137,0.02802666083916084,0.01800152972027972,0.013958697552447552,0.009751966783216784,0.00819493006993007,0.007757867132867133,0.008167613636363636,0.00811298076923077,0.008987106643356644,0.010325611888111888,0.008386145104895104,0.5079217657342657,0.16881555944055945,0.3183098861837907,0.01057308318913251,0.007178412571020502,0.025276662883124117,0.04482782113953342,0.022770463478803713,0.0331820663599068,0.020598552813325885,0.010647512867245953,0.06709009855785712,0.049000714730937825,0.05125810609073391,0.025611621509505317,0.017741259939272887,0.006395368171999069,0.00324028341202661,0.0730973583584473,0.07401480728072313,0.0530673367100185,0.07962169827044535,0.004916609912443812,0.03664710486858445,0.018513106147608344,0.026734167428026936,0.03904360346516837,21.856725146189927,23.893923848596923,20.19133452754884,23.035795713622264,0.8336555304478375,0.8080830968542907,0.8472792044949898,0.8191146232930434,0.47618756124186495,0.4663933842912635,0.4845212065184045,0.4665000254792259,1635.1134727838382,1895.2965686264401,1498.821652485982,1786.353511170967,0.19760606165744443,0.1893495928040894,0.2019344242658684,0.18895818959981506,0.44452903353711826,0.43514318655367845,0.4493711431165428,0.434693213197325
26 (28).jpg,0.021416083916083916,0.0116368006993007,0.011691433566433566,0.0116368006993007,0.009396853146853146,0.009697333916083916,0.009232954545454546,0.011582167832167832,0.012073863636363636,0.014067963286713286,0.01647180944055944,0.022481424825174824,0.028327141608391608,0.024065777972027972,0.01852054195804196,0.013876748251748252,0.010380244755244756,0.009287587412587412,0.009151005244755244,0.008222246503496504,0.009369536713286714,0.00942416958041958,0.009670017482517482,0.007156905594405594,0.5070476398601399,0.17411494755244755,0.31830988618379086,0.022682037313934603,0.1514649625383232,0.09481099073695916,0.04305479856674778,0.016364485202862305,0.06740844823899889,0.1312208669569244,0.042897032884940206,0.06038679853573436,0.053256900581553225,0.012591156004248994,0.11463268535421789,0.02305302147705179,0.06289267753689896,0.017727688674937816,0.05245387271916277,0.051370290593230575,0.06881164134689403,0.07167649098114984,0.04075858997844633,0.017966319737925802,0.042865955897153245,0.020696122275926158,0.02439425933169709,23.814552406647454,25.21158230732706,21.31006493507416,24.992989056073206,0.8621030683485638,0.8511540558247488,0.880302791592712,0.8496778589308405,0.4715368250724536,0.46038322609421106,0.480401637583266,0.4617149325863284,1931.6456927567008,2092.845930231331,1674.547637707802,2113.6019721830103,0.19753697486553995,0.18906027763826902,0.20156632267020186,0.18879074409857455,0.4444513188927894,0.43481062272933146,0.44896138215909154,0.43450056858256764
